,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founders,Investor
1478,Expertrons,EdTech,undisclosed,2300000,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,1970,Jatin Solank Vivek Gupta,Venture Catalysts Auxano Capital Venture Garage Yoga Capital Ah!Ventures Lead Angels
1479,Rage Coffee,Food & Beverages,undisclosed,5000000,Delhi,Rage Coffee is a digitally native FMCG company that manufactures markets & distributes innovative coffee products.,1970,Bharat Sethi,Sixth Sense Ventures
1480,Klub,Financial Services,undisclosed,20000000,Bangalore,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,1970,Anurakt Jain Ishita Verma,9Unicorns Sequoia Capital India’s Surge
1481,Navia Life Care,Healtcare,undisclosed,1000000,Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,1970,Nupur Khandelwal Kunal Kishore Dhawan Gaurav Gupta,Anicut Angel Fund 9 Unicorns
1482,1K Kirana Bazaar,Retail,undisclosed,7000000,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,1970,Abhishek Halder Anilesh Yadav Kumar Sangeetesh,Info Edge FalconEdge
1483,Zupee,Gaming,undisclosed,30000000,Gurugram,Mission to improve people’s lives by improving their learning ability skills and mental aptitude through scientifically designed mental exercises applications,1970,Dilsher Singh Siddhant Saurabh,WestCap Group Tomales Bay Capital
1484,Locale.ai,Location Analytics,undisclosed,1000000,Bangalore,Location Analytics for Companies With Moving Assets and Ground Operations.,1970,Rishabh Jain Aditi Sinha,Chiratae Ventures Better Capital
1485,VerSe Innovation,Media,undisclosed,450000000,Bangalore,The core of the company (VerSe Innovation) is the idea that technology can help bridge the digital divide.,1970,Umang Bedi,Siguler Guff Baillie Gifford
1487,Miko,Consumer Electronics,undisclosed,28000000,Mumbai,Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics AI & IoT.,1970,Sneh R Vaswani Prashant V Iyengar Chintan S Raikar,IIFL AMC Mankind Pharma Family Office Aroa Ventures
1488,Whiz League,EdTech,undisclosed,300000,Delhi,Revolutionizing learning experience that goes beyond academia,1970,Natasha Jain Sonia Agarwal Bajaj,ITI Growth Opportunities
1489,Hash,Tobacco,undisclosed,3500000,Delhi,Hash is a new startup in consumer goods.,1970,Shwetank Jain,Amrac Investment Trust
1491,Log 9 Materials,Deeptech,Series A+,8500000,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,1970,Akshay Singhal Kartik Hajela,Amara Raja Batteries
1492,upGrad,EdTech,undisclosed,25000000,Mumbai,upGrad is India’s largest online higher education company providing programs in Data Science Technology Management and Law to students working professionals and enterprises.,1970,Phalgun Kompalli Ronnie Screwvala Mayank Kumar,India Infoline Finance
1493,FlashPrep,EdTech,Pre-seed,500000,Bangalore,FlashPrep is the smart way to master learning.,1970,Dhiresh Nagwani Ashwini Dhekane,Venture Highway
1494,Kenko Health,Insuretech,Pre Series A,1700000,Mumbai,A unique healthcare financing solution focusing on ROI affordability and superior customer experience,1970,Aniruddha Sen Dhiraj Goel,BEENEXT Orios
1495,Wiz Freight,Logistics & Supply Chain,Seed,3500000,Chennai,Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient hassle-free and highly visible for businesses.,1970,Ramkumar Govindarajan Ramkumar Ramachandran,Axilor
1496,Credgenics,Financial Services,Series A,25000000,Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,1970,Rishabh Goel Mayank Khera Anand Agrawal,Westbridge Capital Tanglin Venture Partners
1497,BlueLearn,EdTech,Pre-seed,400000,Goa,Building India's largest student community. Learn network and grow together with 40000+ students!,1970,Harish Uthayakumar Shreyans Sancheti,100X.VC﻿﻿ Titan Capital Rahul Mathur Gaurav Mandlecha
1498,NimbleBox.ai,MLOps platform,Seed,1000000,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,1970,Anshuman Pandey Rohan Pooniwala,Venture Catalysts
1499,Pickrr,Logistics & Supply Chain,Series B,12000000,Gurugram,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,1970,Rhitiman Majumdar Gaurav Mangla Ankit Kaushik,IIFL Amicus Capital Ananta Capital
1500,Stellaris Venture Partners,Venture Capital,undisclosed,225000000,Bangalore,Early-stage tech VC in India.,1970,Ritesh Banglani Alok Goyal Rahul Chowdhri,
1501,Grip Invest,Financial Services,Series A,3000000,Gurugram,Grip offers investment opportunities to invest in physical assets leased to corporates to earn fixed monthly returns.,1970,Nikhil Aggarwal Vivek Gulati,Venture Highway Endiya Partners
1502,Heads Up For Tails,Pet care,Series A,37000000,Delhi,A one stop shop for all pet products with paw prints all across India we design manufacture and customize stylish,1970,Rashi Sanon,Verlinvest Sequoia Capital India
1503,Blue Tokai Coffee Roasters,Food & Beverages,Pre Series B,2000000,Delhi,Source roast and brew India's best single-origin Arabica coffee.,1970,Matt Chitharanjan Shivam Shahi Namrata Asthana,Anicut Angel Fund
1504,Neeman,Consumer Goods,Series A,2000000,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,1970,Taran Chhabra,Sixth Sense Ventures
1505,BharatPe,FinTech,Series E,370000000,Delhi,BharatPe launched India’s first UPI interoperable QR code first ZERO MDR payment acceptance service and first UPI payment backed merchant cash advance service.,1970,Ashneer Grover Shashvat Nakrani,Tiger Global
1506,GoSats,FinTech,Seed,700000,Bangalore,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,1970,Mohammed Roshan Roshni Aslam,Alphabit Fund Fulgur Ventures Stacks Accelerator SBX Capital
1507,StockGro,FinTech,Pre Series A,5000000,Bangalore,Making Investment Social- India's First Social Trading Platform,1970,Ajay Lakhotia,Roots Ventures Velo Partners
1508,Onsurity,Healthcare,Series A,16000000,Bangalore,Onsurity is a HealthTech & Employee Benefits organization disrupting the SME and startup healthcare market with technology and innovation!,1970,Yogesh Agarwal Kulin Shah,Nexus Venture Partners
1509,Khabri,Media,Pre Series A,2000000,Gurugram,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,1970,Pulkit Sharma Aankit Roy Sandeep Singh,
1510,Celcius,Logistics,undisclosed,500000,Mumbai,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,1970,Swarup Bose,Mumbai Angels Network Huddle Lumis Partners
1513,Rocket Skills,EdTech,Pre-seed,200000,Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,1970,Vibhu Bahuguna Mohit Jain,Better Capital First Cheque Titan Capital
1514,RenewBuy,FinTech,Series C,10000000,Gurugram,Simplify insurance and aim to take it to the last Indian through our digitally enabled POSP advisors.,1970,Balachander Sekhar,Evolvence Capital
1515,Faarms,AgriTech,Seed,2000000,Bangalore,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,1970,Taranbir Singh Alok Duggal,
1516,UrbanMatrix Technologies,Drone,undisclosed,100000,Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,1970,Rishabh Verma Ashutosh Kumar Divyanshu Pundir,SARA ELGI
1517,Jupiter,Banking,Series B,44000000,Mumbai,A digital banking experience that keeps pace with you and helps master money too.,1970,Jitendra Gupta,Nubank Global Founders Capital Sequoia Capital India Matrix Partners India
1518,Pixuate,Deeptech,Seed,1000000,Bangalore,Pixuate enables intelligent business process automation through advanced computer vision AI and machine learning.,1970,Akshata Kari Prathvi Palekar,SucSEED Indovation Fund
1519,Playo,SportsTech,Pre Series A,500000,Bangalore,Playo is a one stop destination app for all things sports,1970,Daanish Suhail,ah! Ventures High Tables
1520,Toothsi,Health,Series B,20000000,Mumbai,India’s first and largest at home smile makeover service using invisible aligners.,1970,Dr Arpi Mehta Dr Pravin Shetty Dr Manjul Jain Dr Anirudh Kale,Eight Roads Ventures Think Investments Mankekar Family Office
1521,Soothe Healthcare,Consumer Goods,Series C,10000000,Delhi,Soothe is a consumer goods company engaged in manufacture marketing & distribution of Personal Hygiene products.,1970,Sahil Dharia,A91 Partners
1522,Goodmeetings,Computer software,Series A,1700000,Bangalore,AI-Based Platform Built Exclusively for Remote Selling,1970,Srinivasan Narayan,Chiratae Ventures
1523,Apnaklub,Wholesale,Seed,3500000,Bangalore,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,1970,Shruti Manish Kumar,Sequoia’s Surge
1524,ChefKart,Consumer Goods,Pre-seed,300000,Gurugram,ChefKart is an end to end kitchen aide that plans shops and cooks for you in your home kitchen.,1970,Vaibhav Gupta Arpit Gupta Aman Gupta,Lead Angels Titan Capital Pravega Ventures
1525,Fashinza,Apparel & Fashion,Series A,20000000,Gurugram,A new-age supply chain and product development platform for the fashion industry.,1970,Pawan Gupta Abhishek Sharma,Accel Partners Elevation Capital
1527,QuickShift,Logistics & Supply Chain,Seed,770000,Pune,Helping D2C brands scale with our AI powered Dashboard that manages Inventory Order Processing WMS Shipping Customer Support,1970,Anshul Goenka,Anicut Angel Fund Axilor Ventures
1528,StackBOX,Logistics & Supply Chain,undisclosed,1200000,Bangalore,DISTRIBUTION SIMPLIFIED,1970,Shanmukha Boora Sabyasachi Bhattacharjee,Ecosystem Ventures CMM group
1530,infra.market,Construction,Series D,125000000,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,1970,Souvik Sengupta Aaditya Sharda,Tiger Global
1531,CollegeDekho,E-learning,Series B,35000000,Gurgaon,Collegedekho.com is Student’s Partner Friend & Confidante To Help Him Take a Decision and Move On to His Career Goals,1970,Ruchir Arora,Disrupt ADQ QIC
1532,BOX8,Food & Beverages,undisclosed,40000000,Mumbai,India's Largest Desi Meals Brand,1970,Anshul Gupta Amit Raj,Tiger Global
1533,Simpl,Consumer Services,Series B,40000000,Bangalore,Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout personalized PoS credit and intelligent loyalty rewards,1970,Nitya Chaitra Chidanand,Valar Ventures IA Ventures
1534,8i Ventures,Venture Capital & Private Equity,undisclosed,50000000,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,1970,Vikram Chachra,
1535,PayGlocal,Financial Services,Series A,4900000,Bangalore,PayGlocal is a FinTech solving for global payments acceptance,1970,Prachi Dharani Rohit Sukhija Yogesh Lokhande,Sequoia Capital India
1536,Curefit,Health Wellness & Fitness,undisclosed,145000000,Bangalore,Tata Digital-backed Curefit,1970,Mukesh Bansal Ankit,Zomato
1537,Pocket FM,OTT,Series B,22000000,Bangalore,Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks stories and podcasts from the most diverse creator community.,1970,Rohan Nishanth Srinivas Prateek Dixit,Lightspeed Times Group Tanglin Venture Partners
1538,CHARGE+ZONE,Automotive,undisclosed,10000000,Vadodara,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,1970,Kartikey Hariyani,Venture Catalysts
1539,PlanetSpark,Education Management,Series B,13000000,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,1970,Maneesh Dhooper Kunal Malik,Binny Bansal Deep Kalra Dr Ashish Gupta Gokul Rajaram Shirish Nadkarni
1540,LenDenClub,Financial Services,Series A,10000000,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,1970,Bhavin Patel Dipesh Karki,Tuscan Ventures Ohm Stock Brokers Artha Venture Fund
1541,CometChat,Computer Software,Series A,10000000,Mumbai,Voice video & text chat SDKs APIs & Plugins for Developers.,1970,Anuj Anant Garg,Signal Peak Ventures
1542,AgroStar,AgriTech,Series D,70000000,Pune,AgroStar is one of India’s foremost AgTech start-ups working on the mission of #HelpingFarmersWin.,1970,Shardul Sitanshu Sheth,Evolvence Hero Enterprise
1543,Bizongo,Information Technology & Services,Series D,100000000,Mumbai,Bizongo is India’s largest B2B platform for made-to-order products.,1970,Sachin Agrawal Aniket Deb Ankit Tomar,Tiger Global
1544,Probus Insurance,Insurance,undisclosed,6700000,Mumbai,Probus Insurance is a leading InsurTech platform in India.,1970,Rakesh goyal,BlueOrchard Impact Investment Managers
1545,MoEngage,Software Startup,Series D,30000000,Bangalore,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,1970,Raviteja Dodda Yashwanth Kumar,Steadview Capital
1546,CloudSEK,Computer & Network Security,Series A,7000000,Bangalore,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,1970,Rahul Sasi,MassMutual Ventures
1547,Exponent Energy,Automotive,Pre Series A,5000000,Bangalore,Simplifying energy for EVs by building a Flexible Energy Stack.,1970,Arun Vinayak Sanjay Byalal,YourNest VC
1548,Trinkerr,Capital Markets,Series A,6600000,Bangalore,Trinkerr is India's first social trading platform.,1970,Manvendra Singh Gaurav Agarwal,Accel India
1549,Zorro,Social network,Seed,32000000,Gurugram,Pseudonymous social network platform,1970,Jasveer Singh Abhishek Asthana Deepak Kumar,Vijay Shekhar Sharma Ritesh Agarwal Ankiti Bose
1550,Ultraviolette,Automotive,Series C,150000000,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,1970,Subramaniam Narayan Niraj Rajmohan,TVS Motor Zoho
1551,NephroPlus,Hospital & Health Care,Series E,24000000,Hyderabad,A vision and passion of redefining healthcare delivery in India in 2010 NephroPlus today is India’s largest network of dialysis centres.,1970,Vikram Vuppala,IIFL Asset Management
1552,Unremot,Information Technology & Services,Seed,700000,Bangalore,Unremot is a personal office for consultants!,1970,Shiju Radhakrishnan,Inflection Point Ventures
1554,PingoLearn,E-learning,undisclosed,200000,Pune,PingoLearn offers language learning courses with snackable videos.,1970,Mohit Menghani Shubham Maheshwari,Titan Capital Haresh Chawla AngelList Syndicate
1555,Spry,Music,Seed,1500000,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,1970,Gaurav Dagaonkar Meghna Mittal,9Unicorns Ashneer Grover
1556,Enmovil,Information Technology & Services,Pre Series A,1300000,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,1970,Ravi Bulusu Nanda Kishore Venkat Moganty,Anicut Angel Fund
1557,ASQI Advisors,Financial Services,Pre Series A,1000000,Mumbai,Bringing Blockchain technology intro mainstream finance!,1970,Swapnil Pawar,Founders Room Capital
1558,Insurance Samadhan,Insurance,Pre Series A,725000,Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,1970,Deepak Bhuvenshwari Uniyal,9Unicorns ZNL
1559,Evenflow Brands,Consumer Goods,undisclosed,500000,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,1970,Utsav Agarwal Pulkit Chhabra,
1560,MasterChow,Hauz Khas,Seed,461000,Food & Beverages,A ready-to-cook Asian cuisine brand,1970,Vidur Kataria Sidhanth Madan,WEH Ventures
1562,Trinkerr,Capital Markets,Series A,6600000,Bangalore,Trinkerr is India's first social trading platform.,1970,Manvendra Singh Gaurav Agarwal,Accel India
1563,Zorro,Social network,Seed,32000000,Gurugram,Pseudonymous social network platform,1970,Jasveer Singh Abhishek Asthana Deepak Kumar,Vijay Shekhar Sharma Ritesh Agarwal Ankiti Bose
1564,Ultraviolette,Automotive,Series C,150000000,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,1970,Subramaniam Narayan Niraj Rajmohan,TVS Motor Zoho
1565,NephroPlus,Hospital & Health Care,Series E,24000000,Hyderabad,A vision and passion of redefining healthcare delivery in India in 2010 NephroPlus today is India’s largest network of dialysis centres.,1970,Vikram Vuppala,IIFL Asset Management
1566,Unremot,Information Technology & Services,Seed,700000,Bangalore,Unremot is a personal office for consultants!,1970,Shiju Radhakrishnan,Inflection Point Ventures
1568,PingoLearn,E-learning,undisclosed,200000,Pune,PingoLearn offers language learning courses with snackable videos.,1970,Mohit Menghani Shubham Maheshwari,Titan Capital Haresh Chawla AngelList Syndicate
1569,Spry,Music,Seed,1500000,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,1970,Gaurav Dagaonkar Meghna Mittal,9Unicorns Ashneer Grover
1570,Enmovil,Information Technology & Services,Pre Series A,1300000,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,1970,Ravi Bulusu Nanda Kishore Venkat Moganty,Anicut Angel Fund
1571,ASQI Advisors,Financial Services,Pre Series A,1000000,Mumbai,Bringing Blockchain technology intro mainstream finance!,1970,Swapnil Pawar,Founders Room Capital
1572,Insurance Samadhan,Insurance,Pre Series A,725000,Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,1970,Deepak Bhuvenshwari Uniyal,9Unicorns ZNL
1573,Evenflow Brands,Consumer Goods,undisclosed,500000,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,1970,Utsav Agarwal Pulkit Chhabra,
1574,MasterChow,Hauz Khas,Seed,461000,Food & Beverages,A ready-to-cook Asian cuisine brand,1970,Vidur Kataria Sidhanth Madan,WEH Ventures
1577,Pristyn Care,Hospital & Health Care,Series E,96000000,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,1970,Harsimarbir (Harsh) Singh Dr Vaibhav Kapoor Dr Garima Sawhney,Kunal Shah Deepinder Goyal Abhiraj Singh Bhal
1578,Plix,Health Wellness & Fitness,Series A,5000000,Mumbai,Plant-based nutraceutical firm,1970,Rishubh Satiya Akash Zaveri,Guild Capital RPSG Capital Ventures
1579,Uni Cards,Financial Services,Series A,70000000,Bangalore,Uni Card splits your payments into 3 parts over 3 months at 0 extra costs.,1970,Nitin Gupta Prateek Jindal Laxmikant Vyas,General Catalyst Eight Roads Ventures Elevation Capital
1580,Practically,E-learning,undisclosed,5000000,Hyderabad,An experiential learning app for grades 6th to 12th.,1970,Subbarao Siddabattula Charu Noheria Ilangovel Thulasimani,NB Ventures Earlsfield Capital
1581,Nestasia,Retail,Series A,4000000,Kolkata,Artisanal Handmade bio conscious crafts from South East Asia.,1970,Aditi Murarka Agrawal Anurag Agrawal,Varun Alagh Sahil Barua
1582,Vedic Cosmeceuticals,Cosmetics,Series A,32000000,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,1970,Mohit Goel,Sixth Sense Ventures
1583,Juspay,FinTech,Series C,60000000,Bangalore,Enable frictionless payments for the billion Indians.,1970,Vimal Kumar Ramanathan RV,SoftBank Vision Fund 2
1584,TranZact,Information Technology & Services,Series A,7000000,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,1970,Ritesh Kumar Sharad Sen Sharma Rohan Sen Sharma,Tribe Capital Prime Venture Partners
1585,Atomberg,Consumer Electronics,undisclosed,20000000,Mumbai,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,1970,Manoj Sibabrata Das,Jungle Ventures
1586,Ola,Mobility,undisclosed,500000000,Bangalore,Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies serving 250+ cities across India Australia New Zealand and the UK,1970,Bhavish Aggarwal,Marquee international institutional investors
1587,Mohalla Tech,Social media,Series G,266000000,Bangalore,Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru India.,1970,Ankush Sachdeva Bhanu Pratap Singh,Alkeon Capital
1588,Stack,Financial Services,Seed,4500000,Bangalore,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,1970,Smriti Tomar Tushar Vyas,Y Combinator Harvard Management
1589,PropReturns,Real Estate,undisclosed,1200000,Mumbai,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,1970,Jayant Panwar Kenish Shah,Y Combinator﻿ ﻿Goodwater Capital
1590,WeSkill,E-learning,Pre-seed,4000000,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,1970,Shaurya Joshi Shashank Patidar Praneet Agarwal,Shrishti Sahu Umang Vohra
1591,Fitpage,Health Wellness & Fitness,undisclosed,300000,Mumbai,An endurance-first fitness tech platform focussed on enabling you to learn eat work out and live better.,1970,Vikas Singh,Astra Ventures Gaurav Jaitly
1592,ShopMyLooks,Digital platform,undisclosed,200000,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,1970,Rohit Jaiswal,Capital A Collective Artists Network
1593,ByteLearn,E-learning,Seed,9500000,Noida,AI powered teaching assistant for 100 Mn teachers across the world,1970,,Aditya Singhal Nishant Sinha
1594,Dista,Computer Software,Seed,1200000,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,1970,Nishant Kumar Shishir Gokhale Deepak Garg,Pentathlon Ventures
1595,OfBusiness,Financial Services,undisclosed,325000000,Gurugram,OfBusiness is a new age commerce and fintech start up and is technologically driven to provide smart procurement and smart financing to SMEs.,1970,Ruchi Kalra Asish Mohapatra,Alpha Wave Ventures II Tiger Global Management SoftBank Vision Fund II
1596,Bizongo,B2B Ecommerce,Series D,100000000,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,1970,Sachin Agrawal Aniket Deb Ankit Tomar,Tiger Global
1597,FRND,Online Media,Series A,6500000,Bangalore,FRND is an audio dating app for Bharat,1970,Bhanu Pratap Singh Tanwar Hardik Bansal Harshvardhan Chhangani,KRAFTON
1598,Metadome,Computer Software,Pre Series A,4000000,Bangalore,Metadome (formerly Adloid) is a Metaverse that provides no-code infrastructure to millions of creators & brands to build immersive experiences for the virtual world.,1970,Kanav Singla Prashant Sinha Shorya Mahajan,Chiratae Ventures Lenskart Vision Fund
1599,Keka HR,Information Technology & Services,undisclosed,1600000,Hyderabad,Keka is a simple and intuitive HR software unlike the traditional HR systems.,1970,Vijay Yalamanchili,Recur Club
1600,Flo Mobility,Industrial Automation,undisclosed,400000,Bangalore,An autonomous tech stack that can be applied to agri-bots delivery bots two wheelers and other use cases where compact bots need to navigate in crowded unstructured environments.,1970,Manesh Jain Mohan Kumar,DevX Venture Fund Blume Founder Fund
1601,Yodacart,E-commerce,Pre-seed,225000,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,1970,Vikas Sharma,Ajith Daneil
1602,TheHouseMonk,Real Estate,undisclosed,5000000,Bangalore,A complete property management software platform for team&customers.,1970,Ajay Kumar Balaji Varadharajan,Aurum Proptech
1603,Zepto,E-commerce,undisclosed,100000000,Bangalore,Ability to consistently deliver 2500+ products in 10 minutes flat.,1970,Aadit Palicha Kaivalya Vohra,Y-Combinator
1604,Sirona Hygiene,Health Wellness & Fitness,undisclosed,10000000,Delhi,An award-winning brand committed to solving those Intimate & Menstrual Hygiene issues for women,1970,Deep Bajaj,The Good Glamm Group
1605,Jumbotail,B2B Ecommerce,Series C,85000000,Bangalore,Jumbotail is India's leading B2B marketplace and New Retail platform serving thousands of mom & pop stores,1970,S Karthik Venkateswaran Ashish Jhina,Invus
1606,Captain Fresh,Logistics & Supply Chain,Series B,40000000,Bangalore,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,1970,Utham Gowda,Tiger Global Prosus Ventures
1607,Deciwood,Consumer Electronics,undisclosed,200000,Delhi,Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality all products are handmade by skilled people of the industry.,1970,Ananya Meena,Shuru Up Ankit Kedia Arun Gupta
1608,Kohbee,E-learning,Pre-seed,235000,Bangalore,Kohbee is a mobile app for online trainers and educators to run their online business end to end.,1970,Rohan Sinha Shashwat Aditya,Ankit Mehrotra Saurabh Aggarwal
1609,Perfora,Consumer Goods,Pre-seed,260000,Gurugram,Building a disruptive modern and functional oral care brand for consumers in India and globally.,1970,Tushar Khurana Jatan Bawa,Sauce.vc
1610,Unbox Robotics,Logistics & Supply Chain,Series A,7000000,Pune,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,1970,Pramod Ghadge Shahid Memon Rohit Pitale,3one4 Capital Sixth Sense Ventures
1611,Ninety One,Consumer Goods,Series A,30000000,Ahmedabad,Ninety One makes cycles which the company claims are affordable and different from the ones available in the market.,1970,Sachin Chopra Vishal Chopra,A91 Partners
1612,Gobillion,Social commerce,Seed,2900000,Delhi,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,1970,Roshan Farhan Kulapradip Bharali,YCombinator Justin Mateen Pioneer Fund
1613,RIPPLR,Logistics & Supply Chain,Pre Series B,12000000,Bangalore,India’s first Plug-n-Play distribution ecosystem for brands,1970,Abhishek Nehru Santosh Dabke,Sojitz Corporation Stride Ventures
1614,SK Finance,Financial Services,Series F,53000000,Jaipur,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,1970,Rajendra Setia,IIFL Wealth TPG Growth Norwest Venture Partners
1615,Eggoz,Food & Beverages,Series A,3500000,Gurugram,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,1970,Abhishek Negi Uttam Kumar Aditya Singh Pankaj Pandey,Nabventures Avaana Capital
1616,Fabriclore,Apparel & Fashion,Pre Series A,700000,Jaipur,India's top brand of artisanal & contemporary fabrics offering the largest catalog of both curated & original designs.,1970,Vijay Sharma Anupam Arya Sandeep Sharma,Fluid Ventures Mulberry Silks
1617,Veefin,Information Technology & Services,undisclosed,3000000,Mumbai,Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design data and analytics built by bankers for bankers.,1970,Gautam Udani Raja Debnath,Rajesh Rajendran
1618,Verandah,Apparel & Fashion,Seed,1000000,Mumbai,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,1970,Anjali Patel Mehta,Mike Novogratz Neeraj Arora
1620,OWO Technologies,Food & Beverages,Seed,3000000,Gurugram,An ecommerce startup offering online beverages and packaged drinking water,1970,Ajay Changani Hardev Sahu,
1621,EsportsXO,Mobile Games,Seed,1100000,Bangalore,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,1970,Utsav Umang Rohit Raj Vikas Goel,We Founder Circle
1622,The Gourmet Jar,Food & Beverages,undisclosed,150000,Noida,The Gourmet Jar offers a range of premium condiments in unique flavour combinations that are handmade in small batches from scratch using all-natural ingredients and no preservatives or additives.,1970,Apeksha Jain,DevX Venture Fund
1625,Neobank Jupiter,Banking,Series C,86000000,Mumbai,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,1970,Jitendra Gupta,Tiger Global Sequoia Capital
1626,Skippi Ice Pops,Food Production,undisclosed,130000,Hyderabad,India's First Icepops Brand,1970,Ravi Kabra,Shark Tank India
1627,Glii,Dating,Seed,10000,Noida,India’s finest dating companionship application,1970,Shivam Kaushik,We Founder Circle
1628,GlobalBees,E-commerce,Series B,111000000,Delhi,Globalbees partners with entrepreneurs who have built an online-first business.,1970,Nitin Agarwal Supam Maheshwari,Premji Invest Steadview Capital
1629,Mamaearth,Health Wellness & Fitness,undisclosed,37000000,Gurugram,Baby and mother care brand,1970,Ghazal Varun Alagh,Sequoia
1630,SecureNow,Insurance,Series B,6000000,Gurugram,SecureNow is an award winning tech-enabled insurance intermediary.,1970,Kapil Mehta Abhishek Bondia,Apis Insurtech Fund I
1631,Vendor Infra,Construction,undisclosed,265000,Gurugram,A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors Get Quotes Find Opportunities,1970,Rahul Jain,SK Tripathi Sanjeev Gupta
